name	instruction	num_params	p1_type	p2_type	p3_type	param_byte	p1_num_byte	p2_num_byte	p3_num_byte
live	00000001	1	dir	-	-	10 00 00 00	4	0	0
ld	00000010	2	dir/ind	reg	-	1_ 01 00 00	4/2	1	0
st	00000011	2	reg	ind/reg	-	01 _1 00 00	1	2/1	0
add	00000100	3	reg	reg	reg	01 01 01 00	1	1	1
sub	00000101	3	reg	reg	reg	01 01 01 00	1	1	1
and	00000110	3	dir/ind/reg	dir/ind/reg	reg	__ __ 01 00	4/2/1	4/2/1	1
or	00000111	3	dir/ind/reg	dir/ind/reg	reg	__ __ 01 00	4/2/1	4/2/1	1
xor	00001000	3	dir/ind/reg	dir/ind/reg	reg	__ __ 01 00	4/2/1	4/2/1	1
zjmp	00001001	1	dir	-	-	10 00 00 00	4	0	0
ldi	00001010	3	dir/ind/reg	dir/reg	reg	__ 1^ 01 00	4/2/1	4/1	1
sti	00001011	3	reg	dir/ind/reg	dir/reg	01 __ 1^ 00	1	4/2/1	4/1
fork	00001100	1	dir	-	-	10 00 00 00	4	0	0
lld	00001101	2	dir/ind	reg	-	1_ 01 00 00	4/2	1	0
lldi	00001110	2	dir/ind/reg	dir/reg	reg	__ 1^ 01 00	4/2/1	4/1	1
lfork	00001111	1	dir	-	-	10 00 00 00	4	0	0
aff	00010000	1	reg	-	-	01 00 00 00	1	0	0

# 00: no description						
# 01: register (r)									
# 10: direct (%)									
# 11: indirect ()									
# DIR_SIZE: 4									
# IND_SIZE: 2									
__ = dir/ind/reg									
1^ = dir/reg									
_1 = ind/reg									
1_ = dir/ind									
